,topic,argument,key_point,stance,label
5124,We should abolish capital punishment,"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",The death penalty helps the victim/their family,-1,0
5125,We should abolish capital punishment,"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",The death penalty is proportional,-1,1
5126,We should abolish capital punishment,"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",The death penalty prevents crimes,-1,0
5127,We should abolish capital punishment,"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",The death penalty saves costs to the state,-1,0
5128,We should abolish capital punishment,A state that outlaws murder cannot then turn around and murder prisoners in the name of the law. It is perverse and unjust.,State-sanctioned killing is principally wrong,1,1
5129,We should abolish capital punishment,A state that outlaws murder cannot then turn around and murder prisoners in the name of the law. It is perverse and unjust.,The death penalty harms the disenfranchised,1,0
5130,We should abolish capital punishment,A state that outlaws murder cannot then turn around and murder prisoners in the name of the law. It is perverse and unjust.,The death penalty irreversible,1,0
5131,We should abolish capital punishment,A state that outlaws murder cannot then turn around and murder prisoners in the name of the law. It is perverse and unjust.,The death penalty is a waste of resources,1,0
5132,We should abolish capital punishment,A state that outlaws murder cannot then turn around and murder prisoners in the name of the law. It is perverse and unjust.,The death penalty is ineffective in deterring crimes,1,0
5133,We should abolish capital punishment,"Abolishing capital punishment is impossible. It is mostly used today by dictatorial countries and religious monarchies, and they don't obey world norms and suggested human rights",The death penalty helps the victim/their family,-1,0
5134,We should abolish capital punishment,"Abolishing capital punishment is impossible. It is mostly used today by dictatorial countries and religious monarchies, and they don't obey world norms and suggested human rights",The death penalty is acceptable in cases of severe crimes,-1,0
5135,We should abolish capital punishment,"Abolishing capital punishment is impossible. It is mostly used today by dictatorial countries and religious monarchies, and they don't obey world norms and suggested human rights",The death penalty is proportional,-1,0
5136,We should abolish capital punishment,"Abolishing capital punishment is impossible. It is mostly used today by dictatorial countries and religious monarchies, and they don't obey world norms and suggested human rights",The death penalty prevents crimes,-1,0
5137,We should abolish capital punishment,"Abolishing capital punishment is impossible. It is mostly used today by dictatorial countries and religious monarchies, and they don't obey world norms and suggested human rights",The death penalty saves costs to the state,-1,0
5138,We should abolish capital punishment,"Abolishing capital punishment means the victims' families will pay their taxes to support offenders who ruined their and their loved ones' lives. There is nothing merciful or humane in this; it is a sick, cruel joke.",The death penalty is acceptable in cases of severe crimes,-1,0
5139,We should abolish capital punishment,"Abolishing capital punishment means the victims' families will pay their taxes to support offenders who ruined their and their loved ones' lives. There is nothing merciful or humane in this; it is a sick, cruel joke.",The death penalty is proportional,-1,0
5140,We should abolish capital punishment,"Abolishing capital punishment means the victims' families will pay their taxes to support offenders who ruined their and their loved ones' lives. There is nothing merciful or humane in this; it is a sick, cruel joke.",The death penalty prevents crimes,-1,0
5141,We should abolish capital punishment,"Abolishing capital punishment means the victims' families will pay their taxes to support offenders who ruined their and their loved ones' lives. There is nothing merciful or humane in this; it is a sick, cruel joke.",The death penalty saves costs to the state,-1,1
5142,We should abolish capital punishment,"As long as death penalty is kept, this confirms that our society is founded on violence, and that violence and brute force solve. This mindset perpetuates the circle of violence and doesn't allow to escape it.",The death penalty harms the disenfranchised,1,0
5143,We should abolish capital punishment,"As long as death penalty is kept, this confirms that our society is founded on violence, and that violence and brute force solve. This mindset perpetuates the circle of violence and doesn't allow to escape it.",The death penalty irreversible,1,0
5144,We should abolish capital punishment,"As long as death penalty is kept, this confirms that our society is founded on violence, and that violence and brute force solve. This mindset perpetuates the circle of violence and doesn't allow to escape it.",The death penalty is a waste of resources,1,0
5145,We should abolish capital punishment,"As long as death penalty is kept, this confirms that our society is founded on violence, and that violence and brute force solve. This mindset perpetuates the circle of violence and doesn't allow to escape it.",The death penalty is ineffective in deterring crimes,1,0
5146,We should abolish capital punishment,"As the only actor that can legitimately wield the use of force, the state has an reparative obligation to victims and their families to seek retribution against criminals, and this includes the use of capital punishment.",The death penalty helps the victim/their family,-1,1
5147,We should abolish capital punishment,"As the only actor that can legitimately wield the use of force, the state has an reparative obligation to victims and their families to seek retribution against criminals, and this includes the use of capital punishment.",The death penalty is acceptable in cases of severe crimes,-1,0
5148,We should abolish capital punishment,"As the only actor that can legitimately wield the use of force, the state has an reparative obligation to victims and their families to seek retribution against criminals, and this includes the use of capital punishment.",The death penalty is proportional,-1,0
5149,We should abolish capital punishment,"As the only actor that can legitimately wield the use of force, the state has an reparative obligation to victims and their families to seek retribution against criminals, and this includes the use of capital punishment.",The death penalty prevents crimes,-1,0
5150,We should abolish capital punishment,"As the only actor that can legitimately wield the use of force, the state has an reparative obligation to victims and their families to seek retribution against criminals, and this includes the use of capital punishment.",The death penalty saves costs to the state,-1,0
5151,We should abolish capital punishment,because there are a lot of innocent people who are in prison there is a good chance that you would kill a person and would later find out that they did not commit the crime,State-sanctioned killing is principally wrong,1,0
5152,We should abolish capital punishment,because there are a lot of innocent people who are in prison there is a good chance that you would kill a person and would later find out that they did not commit the crime,The death penalty harms the disenfranchised,1,0
5153,We should abolish capital punishment,because there are a lot of innocent people who are in prison there is a good chance that you would kill a person and would later find out that they did not commit the crime,The death penalty irreversible,1,1
5154,We should abolish capital punishment,because there are a lot of innocent people who are in prison there is a good chance that you would kill a person and would later find out that they did not commit the crime,The death penalty is a waste of resources,1,0
5155,We should abolish capital punishment,because there are a lot of innocent people who are in prison there is a good chance that you would kill a person and would later find out that they did not commit the crime,The death penalty is ineffective in deterring crimes,1,0
5156,We should abolish capital punishment,"By taking away the right to life of his victim, a murderer forfeits his own right to life.",The death penalty helps the victim/their family,-1,0
5157,We should abolish capital punishment,"By taking away the right to life of his victim, a murderer forfeits his own right to life.",The death penalty is proportional,-1,1
5158,We should abolish capital punishment,"By taking away the right to life of his victim, a murderer forfeits his own right to life.",The death penalty prevents crimes,-1,0
5159,We should abolish capital punishment,"By taking away the right to life of his victim, a murderer forfeits his own right to life.",The death penalty saves costs to the state,-1,0
5160,We should abolish capital punishment,capital punishment acts as the ultimate deterrent - serious crime levels will drop due to the risk of paying the ultimate price.,The death penalty helps the victim/their family,-1,0
5161,We should abolish capital punishment,capital punishment acts as the ultimate deterrent - serious crime levels will drop due to the risk of paying the ultimate price.,The death penalty is acceptable in cases of severe crimes,-1,0
5162,We should abolish capital punishment,capital punishment acts as the ultimate deterrent - serious crime levels will drop due to the risk of paying the ultimate price.,The death penalty is proportional,-1,0
5163,We should abolish capital punishment,capital punishment acts as the ultimate deterrent - serious crime levels will drop due to the risk of paying the ultimate price.,The death penalty prevents crimes,-1,1
5164,We should abolish capital punishment,capital punishment acts as the ultimate deterrent - serious crime levels will drop due to the risk of paying the ultimate price.,The death penalty saves costs to the state,-1,0
5165,We should abolish capital punishment,"capital punishment acts as the ultimate deterrent for the most heinous of crimes, and saves vast amounts of money that would be spent keeping such offenders in jail for ever more.",The death penalty helps the victim/their family,-1,0
5166,We should abolish capital punishment,"capital punishment acts as the ultimate deterrent for the most heinous of crimes, and saves vast amounts of money that would be spent keeping such offenders in jail for ever more.",The death penalty is proportional,-1,0
5167,We should abolish capital punishment,"capital punishment acts as the ultimate deterrent for the most heinous of crimes, and saves vast amounts of money that would be spent keeping such offenders in jail for ever more.",The death penalty prevents crimes,-1,1
5168,We should abolish capital punishment,capital punishment allows for equal justice type punishment and a means for the victim's family members to have some type of closure to such a horrible episode in their lives.,The death penalty helps the victim/their family,-1,1
5169,We should abolish capital punishment,capital punishment allows for equal justice type punishment and a means for the victim's family members to have some type of closure to such a horrible episode in their lives.,The death penalty is acceptable in cases of severe crimes,-1,0
5170,We should abolish capital punishment,capital punishment allows for equal justice type punishment and a means for the victim's family members to have some type of closure to such a horrible episode in their lives.,The death penalty prevents crimes,-1,0
5171,We should abolish capital punishment,capital punishment allows for equal justice type punishment and a means for the victim's family members to have some type of closure to such a horrible episode in their lives.,The death penalty saves costs to the state,-1,0
5172,We should abolish capital punishment,Capital punishment allows for more judicial discretion by providing more possible punishments to choose from.,The death penalty helps the victim/their family,-1,0
5173,We should abolish capital punishment,Capital punishment allows for more judicial discretion by providing more possible punishments to choose from.,The death penalty is acceptable in cases of severe crimes,-1,0
5174,We should abolish capital punishment,Capital punishment allows for more judicial discretion by providing more possible punishments to choose from.,The death penalty is proportional,-1,0
5175,We should abolish capital punishment,Capital punishment allows for more judicial discretion by providing more possible punishments to choose from.,The death penalty prevents crimes,-1,0
5176,We should abolish capital punishment,Capital punishment allows for more judicial discretion by providing more possible punishments to choose from.,The death penalty saves costs to the state,-1,0
5177,We should abolish capital punishment,capital punishment allows for victims' families to get justice equal to the crime committed (usually murder).,The death penalty helps the victim/their family,-1,1
5178,We should abolish capital punishment,capital punishment allows for victims' families to get justice equal to the crime committed (usually murder).,The death penalty is acceptable in cases of severe crimes,-1,0
5179,We should abolish capital punishment,capital punishment allows for victims' families to get justice equal to the crime committed (usually murder).,The death penalty is proportional,-1,0
5180,We should abolish capital punishment,capital punishment allows for victims' families to get justice equal to the crime committed (usually murder).,The death penalty prevents crimes,-1,0
5181,We should abolish capital punishment,capital punishment allows for victims' families to get justice equal to the crime committed (usually murder).,The death penalty saves costs to the state,-1,0
5182,We should abolish capital punishment,capital punishment breaks the human rights of the individuals being punished.,State-sanctioned killing is principally wrong,1,1
5183,We should abolish capital punishment,capital punishment breaks the human rights of the individuals being punished.,The death penalty harms the disenfranchised,1,0
5184,We should abolish capital punishment,capital punishment breaks the human rights of the individuals being punished.,The death penalty irreversible,1,0
5185,We should abolish capital punishment,capital punishment breaks the human rights of the individuals being punished.,The death penalty is a waste of resources,1,0
5186,We should abolish capital punishment,capital punishment breaks the human rights of the individuals being punished.,The death penalty is ineffective in deterring crimes,1,0
5187,We should abolish capital punishment,capital punishment can be a deterrent if criminals know this is the ultimate punishment,The death penalty helps the victim/their family,-1,0
5188,We should abolish capital punishment,capital punishment can be a deterrent if criminals know this is the ultimate punishment,The death penalty is acceptable in cases of severe crimes,-1,0
5189,We should abolish capital punishment,capital punishment can be a deterrent if criminals know this is the ultimate punishment,The death penalty is proportional,-1,0
5190,We should abolish capital punishment,capital punishment can be a deterrent if criminals know this is the ultimate punishment,The death penalty prevents crimes,-1,1
5191,We should abolish capital punishment,capital punishment can be a deterrent if criminals know this is the ultimate punishment,The death penalty saves costs to the state,-1,0
5192,We should abolish capital punishment,"Capital punishment can be replaced by more ethical but equally punishing alternatives, like life without parole.",State-sanctioned killing is principally wrong,1,0
5193,We should abolish capital punishment,"Capital punishment can be replaced by more ethical but equally punishing alternatives, like life without parole.",The death penalty harms the disenfranchised,1,0
5194,We should abolish capital punishment,"Capital punishment can be replaced by more ethical but equally punishing alternatives, like life without parole.",The death penalty irreversible,1,0
5195,We should abolish capital punishment,"Capital punishment can be replaced by more ethical but equally punishing alternatives, like life without parole.",The death penalty is a waste of resources,1,0
5196,We should abolish capital punishment,"Capital punishment can be replaced by more ethical but equally punishing alternatives, like life without parole.",The death penalty is ineffective in deterring crimes,1,0
5197,We should abolish capital punishment,capital punishment can influence better behavior,The death penalty helps the victim/their family,-1,0
5198,We should abolish capital punishment,capital punishment can influence better behavior,The death penalty is acceptable in cases of severe crimes,-1,0
5199,We should abolish capital punishment,capital punishment can influence better behavior,The death penalty is proportional,-1,0
5200,We should abolish capital punishment,capital punishment can influence better behavior,The death penalty prevents crimes,-1,1
