,topic,argument,key_point,stance,label
18924,We should legalize prostitution,prostitution isnt going anywhere. at least if it's legalized it would take the profession out of the hands of criminals and be safer for the women.,Legalizing sex work boosts the economy,1,0
1551,Homeschooling should be banned,homeschooling means that the children involved are deprived of regular social contact with others of their own age,Parents are not qualified as teachers,1,0
4555,We should abandon the use of school uniform,school uniforms help suppress certain forms of bullying,School uniforms saves costs,-1,0
23027,We should subsidize space exploration,"the country only has a certain amount of money, and it would be used better to help people here on earth than to explore space.",Space exploration can be carried by the private sector,-1,0
21616,We should prohibit women in combat,women should be accepted into the ranks of the soldiery just as men if they too have passed the necessary assessments as they too can fulfil an important role which compliments existing soldiers,There should be equality between men and women.,-1,0
10209,We should ban human cloning,"cloning might allow us to reproduce body parts such as livers, hearts, etc to help save lives of those who are desparately ill.",Cloning helps those who can’t otherwise have a child,-1,0
22340,We should subsidize journalism,We should not subsidize journalism because it will undermine editorial independence and make all the news more biased towards the government.,Journalism is like every other business and if it is not sustainable it should fail,-1,0
4554,We should abandon the use of school uniform,school uniforms help suppress certain forms of bullying,School uniforms encourage discipline or focus on learning,-1,0
20634,We should prohibit flag burning,it's only a flag and simply a protest when it's burned by people who feel they cannot otherwise make their voices heard.,flag burning is justified due to freedom of expression,-1,0
20242,We should legalize sex selection,we should legalize sex selection because people should be able to pick the sex of the baby they want instead of having the sex forced on them,Sex selection allows for better family planning,1,0
5179,We should abolish capital punishment,capital punishment allows for victims' families to get justice equal to the crime committed (usually murder).,The death penalty is proportional,-1,0
10663,We should ban human cloning,human cloning should be banned because it interferes with nature,Cloning is unethical/anti-religious,1,0
1183,Homeschooling should be banned,homeschooled kids get a good education and it is the parents right to school them how they see fit,Mainstream schools have a lot of violence/bullying,-1,0
20714,We should prohibit flag burning,we should prohibit flag burning as it shows absolute no respect for one's country.,flag burning is an inflammatory act,1,0
9239,We should adopt atheism,"we should adopt atheism, there is not one piece of evidence for religion being fact, yet science is proven. religion is a manipulative tactic based on lies.",Science can adequately explain the Universe,1,1
17232,We should legalize cannabis,cannabis has many benefits to cancer patients and people with other painful conditions.,Legalizing cannabis will reduce black-market/criminal activity,1,0
21304,We should prohibit women in combat,women are not as physically strong as men and may hinder operations.,Women cannot overcome physical/emotional/mental barriers,1,1
3737,We should abandon marriage,marriage is unnecessary when two people love each other. being together should be enough.,Marriage preserves norms that are harmful for women,1,0
1018,Assisted suicide should be a criminal offence,when people are in unbearable pain and suffering and have no chance of getting better it is cruel to keep them alive without their consent,The terminally ill would benefit from assisted suicide,-1,0
4466,We should abandon the use of school uniform,school uniforms does nothing to decrease the amount of violence occurring in schools.,School uniform is harming the student's self expression,1,0
22426,We should subsidize space exploration,because of overpopulation space exploration must be subsidized so that humanity can find a new home since it has destroyed earth,Space exploration can help in colonizing the resources/lands of other planets,1,1
20199,We should legalize sex selection,we should legalize sex selection as it is a parents right to choose and many families may want a girl after many boys and so sex selection will help ensure a wanted pregnancy.,Sex selection allows for better family planning,1,1
22725,We should subsidize space exploration,"space exploration is an expenditure so esoteric, it does not justify its hefty cost to the public.",Space exploration can be carried by the private sector,-1,0
20557,We should prohibit flag burning,flag burning is protected by the first amendment.,flag burning is justified due to freedom of expression,-1,1
20535,We should prohibit flag burning,flag burning is disruptive to civil peace.,Flags are important symbols that should be respected,1,0
1246,Homeschooling should be banned,homeschooling can be useful when a child is being bullied in school and needs protection from their bullies.,The home is a good learning environment,-1,0
12184,We should ban the use of child actors,child actors are often forced to grow up too fast in a way that stunts their development permanently.,Child performers are at risk of exploitation,1,0
10101,We should adopt libertarianism,we shouldn't because some people need intervention to make decisions.,Libertarianism harms economic growth,-1,0
22469,We should subsidize space exploration,if we subsidised space exploration we could learn more about our own planet from space in wys that we couldn't learn about it from here on earth.,Space exploration is financially beneficial,1,0
780,Assisted suicide should be a criminal offence,"people have a basic right to bodily autonomy, deciding whether or not to die with minimal suffering and dignity is integral to that right.",Assisted suicide gives dignity to the person that wants to commit it,-1,1
23801,We should subsidize vocational education,vocational education provides skills necessary for the real world that also allow for immediate job placement upoon graduation.,vocational education better fits many students,1,0
2322,The vow of celibacy should be abandoned,if celibacy was abandoned then there would be more choice of partners and relationships could be improved.,Celibacy is unhealthy/unnatural,1,0
15138,We should end mandatory retirement,"There is ample research to prove that, if given that opportunity, older workers are just as capable and productive as younger workers",A mandatory retirement age decreases institutional knowledge,1,0
17247,We should legalize cannabis,cannabis has medical benefits that could be used to give relief to people with chronic illnesses.,Cannabis is financially beneficial,1,0
