,Unnamed: 0,Unnamed: 0.1,topic,argument,key_point,stance,label
4,4238,4341,We should abandon the use of school uniform,"school uniforms are unflattering, uncomfortable, and expensive.",School uniforms are often uncomfortable/sexist,1,1
3,9788,11618,We should ban private military companies,private military companies specialize in services to help our military.,"Private military companies can supplement regular armies in specific tasks that armies cannot, or do not want, to do",-1,1
6,12379,18261,We should legalize cannabis,we should not legalize cannabis because then more people would be using it in public places,Legal cannabis can be getting to the hand of underage teenagers/children,-1,0
9,7916,15265,We should end mandatory retirement,without mandatory retirement people can be free to work for extremely long times. this reduces the pool of jobs for younger workers.,mandatory retirement age benefits those that are about to be retired,-1,0
8,15641,6670,We should abolish intellectual property rights,"maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors.",intellectual property rights are ineffective,1,0
2,14513,385,Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because the person is basically killing the other person.,Assisted suicide is akin to killing someone,1,1
5,2801,13827,We should close Guantanamo Bay detention camp,We should close Guantanamo Bay detection camp as there is no further need for this and the detainees should be sent back to be dealt with by their own countries.,The Guantanamo bay detention camp personnel commit crimes against the prisoners,1,0
0,224,10361,We should ban human cloning,human cloning can provide us with a lot of knowledge about the human body that could possibly save lives and cure fatal illnesses.,Cloning promotes science/research,-1,1
1,2187,13213,We should close Guantanamo Bay detention camp,"guantanamo bay is a secure location to imprison potential terrorists, who are a threat to us national security.",Closing the Guantanamo bay detention camp would harm national security,-1,1
7,9106,14457,We should end affirmative action,we need to pay special attention to those groups who have been treated unfairly throughout history.,Affirmative action reduces discrimination,-1,0
