,Unnamed: 0,topic,argument,key_point,stance,label
11704,17586,We should legalize cannabis,"Growing marijuana harms the environment. Marijuana farming results in deforestation, soil erosion, habitat destruction and landslides.",Cannabis is a gateway-drug/addictive,-1,0
14568,440,Assisted suicide should be a criminal offence,"assisted suicide should not be a crime. if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.",People should have the freedom to choose to end their life,-1,1
8924,14275,We should end affirmative action,affirmative actions shouldn't be ended because it allows individuals to chase dreams,Affirmative action is necessary to compensate for the past,-1,0
7383,14732,We should end mandatory retirement,mandatory retirement ages are inconsistent with modern workplace practices and are contrary to the desire for age equality,A mandatory retirement age decreases institutional knowledge,1,0
10478,7341,We should abolish the right to keep and bear arms,the right to bear arms is outdated. it was written long before handguns and automatic weapons were created. time to abolish it.,Gun ownership allows for mass-shootings/general gun violence,1,0
2955,12009,We should ban the use of child actors,"as long as child actors are protected and monitored, their participation in the acting industry should be allowed.",Child performers achieve success/confidence,-1,0
7915,15264,We should end mandatory retirement,without mandatory retirement people can be free to work for extremely long times. this reduces the pool of jobs for younger workers.,A mandatory retirement age creates opportunities for other workers,-1,1
12275,18157,We should legalize cannabis,we should legalize cannabis because a natural plant should not be regulated. cannabis is shown to naturally help with certain medical conditions and it's much safer than alcohol for recreational use.,Cannabis is financially beneficial,1,0
16544,2689,The vow of celibacy should be abandoned,the vow of celibacy is old-fashioned and outdated and therefore should be abandoned.,Celibacy reduces the pool of people wanting to become priests,1,0
2657,13683,We should close Guantanamo Bay detention camp,the guantanomo bay camp should be closed as people are kept there without fair trials,The Guantanamo bay detention camp personnel commit crimes against the prisoners,1,0
3608,12662,We should ban the use of child actors,the role of a child actor cannot be fulfilled by adults to cannot possibly be banned.,Child performers should not be banned as long as there is supervision/regulation,-1,0
9463,11293,We should ban private military companies,private military companies are often run by former military men and women and provide a service that allows the military to concentrate on military operations.,Private military companies increase safety,-1,0
12327,18209,We should legalize cannabis,we should legalize cannabis because it will bring revenue for the government and can be made to a quality standard ensuring no hidden ingredients.,People should be allowed to do whatever they want to their own bodies,1,0
8131,21986,We should subsidize journalism,"Journalism plays an essential role as watchdog of democracy, and keeping citizens informed. Such a valuable industry deserves government subsidization.",Subsidy increases objectivity in reporting,1,0
3648,12702,We should ban the use of child actors,the use of child actors should be banned because the work takes them from the education they will most likely need to obtain gainful employment in adult life,Child performers are losing their childhood,1,0
15423,6452,We should abolish intellectual property rights,intellectual property rights can be granted to those who don't deserve protection,intellectual property rights are ineffective,1,0
8191,22046,We should subsidize journalism,journalists are more interested in being famous than in actually giving us the news,It is preferable to spend the money elsewhere,-1,0
14380,252,Assisted suicide should be a criminal offence,assisted suicide is nothing but murder. you are giving a human the ability to legally kill another. this should be stopped. no person should be allowed to cause a death of another.,Assisted suicide violates the doctor's role,1,0
6598,19739,We should legalize sex selection,sex selection goes against nature and is wrong.,Sex selection can lead to gender imbalance,-1,0
15031,903,Assisted suicide should be a criminal offence,"suicide in some countries is considered a crime for attempting against life itself, assisted suicide is the same",Assisted suicide allows people to solicit someone to die to their own benefit,1,0
1963,6144,We should abolish capital punishment,we should not abolish capital punishment because it deters terrorism.,The death penalty prevents crimes,-1,1
