,Unnamed: 0,topic,argument,key_point,stance,label
10957,15329,We should fight for the abolition of nuclear weapons,"nuclear weapons act as a deterrent, getting rid of them could mean rebel countries using theirs with no threat of retaliation",Nuclear weapons is essential for protection and deterrence,-1,1
6284,19425,We should legalize sex selection,legalized sex selection would help couples prepare for the birth of their baby,Sex selection allows for better family planning,1,1
8795,14146,We should end affirmative action,"Affirmative action is reverse discrimination. By giving preferential treatment to minority groups, you are discriminating against non-minorities.",Affirmative action reduces quality,1,0
649,10786,We should ban human cloning,"it can help with medical research and lead to the treatment and cures of many different diseases,",Cloning promotes science/research,-1,1
6232,19373,We should legalize sex selection,"it should not be legal, it is costly and morally wrong",Sex selection is expensive,-1,1
12545,15638,We should fight urbanization,urban cities allow for more people to live in a small area.,Urbanization benefits the economy,-1,0
14187,59,Assisted suicide should be a criminal offence,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,Assisted suicide reduces suffering,-1,1
3063,12117,We should ban the use of child actors,"Child actors are forced to grow up way too fast, they are thrown into a world of drugs and sex at an early age. Kids should be away from all that until Hollywood is safe for them.",Child performers have a lot of pressure,1,0
11125,15497,We should fight for the abolition of nuclear weapons,we should fight for the abolition nuclear weapons because of the dangers involved. misuse of nuclear weapons could lead to another world l war.,Nuclear weapons provoke or escalate a disastrous military action,1,1
9317,11147,We should ban private military companies,military should only be government controlled to ensure action taken is not profit motivated but national security motivated,Private military companies main interest is profit,1,1
14850,722,Assisted suicide should be a criminal offence,"many people do not have the mental capacity to comprehend the finality of assisted suicide and it will be abused, and it should be a criminal offence to any persons involved.",Assisted suicide should not be allowed because many times people can still get better,1,0
6439,19580,We should legalize sex selection,selecting sex might throw off the balance between male and female. many cultures value males over females,Sex selection is against tradition,-1,0
11378,17260,We should legalize cannabis,cannabis has never been scientifically proven to help any conditions.,Cannabis is a gateway-drug/addictive,-1,0
9525,11355,We should ban private military companies,private military companies can be an asset.,Private military companies are well-trained/better equipped,-1,0
5871,21581,We should prohibit women in combat,women in combat should not be allowed since they are the part of society that can bear children and ensure the existence of people,Women in combat can be a distraction or harm the function of the military,1,0
13733,22983,We should subsidize space exploration,subsidize space exploration is waste of money and such a money should be invested in people.,There are issues more important to fund than space exploration,-1,1
9821,11651,We should ban private military companies,private military's will cost a lot of money and be accountable to no one,Private military companies are less ethical and violate rights or commit crimes,1,0
700,10837,We should ban human cloning,the united nations discussed last week a proposal to impose a global ban on human cloning for reproductive purposes.,Cloning is unethical/anti-religious,1,0
14785,657,Assisted suicide should be a criminal offence,"if to a reasonable degree of medical certainty the medical condition of a person is irreversible, it must have the right to terminate his life by requesting assistance without consequences for the fact.",Assisted suicide reduces suffering,-1,0
12264,18146,We should legalize cannabis,we should legalize cannabis as it can help aid the recovery of many medical needs that alternative medicines don't help,Cannabis is financially beneficial,1,0
4060,4163,We should abandon the use of school uniform,"Most students do not want school uniforms, they should not be mandatory.",School uniforms increase conformity or harm individuality,1,0
6572,19713,We should legalize sex selection,"sex selection could lead to genetic abnormalities and start society on a slippery slope of genetic editing at a time when it is an imperfect, untested procedure that could lead to horrific outcomes.",Sex selection can lead to gender imbalance,-1,0
2181,13207,We should close Guantanamo Bay detention camp,"guantanamo bay is a place of victimization of human rights, unfair detention to some innocent prisoners that have been unfairly and unjustly racially profiled.",The Guantanamo bay detention camp is expensive,1,0
9063,14414,We should end affirmative action,the are still instances of bias in society that need to be addressed.,Affirmative action reduces discrimination,-1,1
225,10362,We should ban human cloning,human cloning could aid medical advances and should therefore be allowed.,Cloning can be used for organ replication,-1,0
15287,6316,We should abolish intellectual property rights,"if someone holds the intellectual property for a specific abstract idea, they can prevent further development of that idea, which is not good for society.",Intellectual property rights are unfair,1,0
9408,11238,We should ban private military companies,"private military companies are basically soldiers for hire, driven by money and nothing else.","Private military companies solicit engaging, or prolonging, conflict",1,0
7918,15267,We should end mandatory retirement,You do not become unqualified for a job simply because you reach retirement age.,A mandatory retirement age harms the economy,1,0
12882,15975,We should fight urbanization,urbanization is not beneficial for all. too many people moving into an area too quickly causes all manner of problems,Urbanization causes crime,1,0
3998,4101,We should abandon the use of school uniform,freedom of expression extends to the right to choose one's own clothing and a school uniform prevents this choice.,School uniform is harming the student's self expression,1,1
6827,19968,We should legalize sex selection,Sex selection strengthens sexist stereotypes and gender biases.,Sex selection is expensive,-1,0
15639,6668,We should abolish intellectual property rights,"maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors.",Intellectual property prevents the continuous improvement of a service/product,1,0
15750,6779,We should abolish intellectual property rights,we need to protect the rights of copyright holders to safeguard the creative economy and should never open the market for rampant exploitation of recognisable content,Intellectual property rights protect against stealing,-1,1
2358,13384,We should close Guantanamo Bay detention camp,guantanamo bay uses torture on it's prisoners which is cruel and inhumane.,Detainees have the right to trial in US courts,1,0
9133,14484,We should end affirmative action,we should end affirmative action because is important is some activities,Affirmative action perpetuates prejudice,1,0
10613,7476,We should abolish the right to keep and bear arms,"the right to keep and bear arms is the bedrock constitutional right of every person both to protect themselves and their families, and banning this would infringe on civil liberties.",Gun ownership is a right,-1,1
90,10227,We should ban human cloning,cloning would have strict regulations on how to handle clones and ethical dilemmas. scientific advancements made while working towards cloning can advance the human race.,Cloning promotes science/research,-1,1
13951,23201,We should subsidize space exploration,we need to subsidize space exploration in order to find an inhabitable planet we can live on when we finally destroy the one we live on now. supply housing for,Space exploration can help in colonizing the resources/lands of other planets,1,1
3879,12933,We should ban the use of child actors,we should not ban the use of child actors as parents have the right to determine if their child is able to successfully act in a capacity it does them no harm.,Child performers should not be banned as long as there is supervision/regulation,-1,0
11760,17642,We should legalize cannabis,it has many good uses & could be a good tax revenue generator for the states & federal government,Legalizing cannabis will reduce black-market/criminal activity,1,0
3775,12829,We should ban the use of child actors,"we do not allow child labour, child actors are working children, this should also be banned",Being a performer harms the child's education,1,0
5706,21416,We should prohibit women in combat,women can do almost everything a man can but she is the weaker sex and should not be in combat,Women in combat can be a distraction or harm the function of the military,1,0
1391,5572,We should abolish capital punishment,capital punishment sends a message to other criminals that if you commit an awful crime you will be severely punished,The death penalty is acceptable in cases of severe crimes,-1,0
3436,12490,We should ban the use of child actors,how are you going to make tv shows and movies without children?,Child performers are necessary for roles,-1,1
6582,19723,We should legalize sex selection,"sex selection encourages gender discrimination, which is illegal",It is unethical/unhealthy for parents to intervene,-1,0
13033,16126,We should fight urbanization,urbaniztion leads to the lack of community spirit and a decrease in mental health due to isolation,Urbanization causes crime,1,0
14156,28,Assisted suicide should be a criminal offence,allow assisted suicide could allow unscrupulous people to become serial killers,People do not have the right to self-harm/harm others,1,0
8490,22345,We should subsidize journalism,We should not subsidize journalism because money is fungible and this would trade off with education and other more important issues.,Journalism is like every other business and if it is not sustainable it should fail,-1,0
11079,15451,We should fight for the abolition of nuclear weapons,"The production of nuclear weapons exposes many workers to dangerous levels of radiation, decreasing their lifespan and quality of life unjustly.",Nuclear weapons can fall into the wrong hands,1,0
